adjectifs,ensembles des traits morpho,catégorie
inanalysable,"[('inanalysable', 's'), ('inanalysables', 'p')]",variations en genre et en nombre silencieuses
inanimé,"[('inanimé', 'ms'), ('inanimée', 'fs'), ('inanimées', 'fp'), ('inanimés', 'mp')]",variations en genre et en nombre silencieuses
inanitié,"[('inanitié', 'ms'), ('inanitiée', 'fs'), ('inanitiées', 'fp'), ('inanitiés', 'mp')]",variations en genre et en nombre silencieuses
inapaisable,"[('inapaisable', 's'), ('inapaisables', 'p')]",variations en genre et en nombre silencieuses
inapaisé,"[('inapaisé', 'ms'), ('inapaisée', 'fs'), ('inapaisées', 'fp'), ('inapaisés', 'mp')]",variations en genre et en nombre silencieuses
inaperçu,"[('inaperçu', 'ms'), ('inaperçue', 'fs'), ('inaperçues', 'fp'), ('inaperçus', 'mp')]",variations en genre et en nombre silencieuses
inapplicable,"[('inapplicable', 's'), ('inapplicables', 'p')]",variations en genre et en nombre silencieuses
inappliqué,"[('inappliqué', 'ms'), ('inappliquée', 'fs'), ('inappliquées', 'fp'), ('inappliqués', 'mp')]",variations en genre et en nombre silencieuses
inapprivoisé,"[('inapprivoisé', 'ms'), ('inapprivoisée', 'fs'), ('inapprivoisées', 'fp'), ('inapprivoisés', 'mp')]",variations en genre et en nombre silencieuses
inappréciable,"[('inappréciable', 's'), ('inappréciables', 'p')]",variations en genre et en nombre silencieuses
inapprécié,"[('inapprécié', 'ms'), ('inappréciée', 'fs'), ('inappréciées', 'fp'), ('inappréciés', 'mp')]",variations en genre et en nombre silencieuses
inapte,"[('inapte', 's'), ('inaptes', 'p')]",variations en genre et en nombre silencieuses
inarrachable,"[('inarrachable', 's'), ('inarrachables', 'p')]",variations en genre et en nombre silencieuses
inarticulable,"[('inarticulable', 's'), ('inarticulables', 'p')]",variations en genre et en nombre silencieuses
inarticulé,"[('inarticulé', 'ms'), ('inarticulée', 'fs'), ('inarticulées', 'fp'), ('inarticulés', 'mp')]",variations en genre et en nombre silencieuses
inassimilable,"[('inassimilable', 's'), ('inassimilables', 'p')]",variations en genre et en nombre silencieuses
inassouvi,"[('inassouvi', 'ms'), ('inassouvie', 'fs'), ('inassouvies', 'fp'), ('inassouvis', 'mp')]",variations en genre et en nombre silencieuses
inassouvissable,"[('inassouvissable', 's'), ('inassouvissables', 'p')]",variations en genre et en nombre silencieuses
inattaquable,"[('inattaquable', 's'), ('inattaquables', 'p')]",variations en genre et en nombre silencieuses
inatteignable,"[('inatteignable', 's'), ('inatteignables', 'p')]",variations en genre et en nombre silencieuses
inattendu,"[('inattendu', 'ms'), ('inattendue', 'fs'), ('inattendues', 'fp'), ('inattendus', 'mp')]",variations en genre et en nombre silencieuses
inattentif,"[('inattentif', 'ms'), ('inattentifs', 'mp'), ('inattentive', 'fs'), ('inattentives', 'fp')]",variations en genre audible et en nombre silencieuses
inaudible,"[('inaudible', 's'), ('inaudibles', 'p')]",variations en genre et en nombre silencieuses
inaugural,"[('inaugural', 'ms'), ('inaugurale', 'fs'), ('inaugurales', 'fp'), ('inauguraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
inauthentique,"[('inauthentique', 's'), ('inauthentiques', 'p')]",variations en genre et en nombre silencieuses
inavouable,"[('inavouable', 's'), ('inavouables', 'p')]",variations en genre et en nombre silencieuses
inavoué,"[('inavoué', 'ms'), ('inavouée', 'fs'), ('inavouées', 'fp'), ('inavoués', 'mp')]",variations en genre et en nombre silencieuses
inca,"[('inca', 's'), ('incas', 'p')]",variations en genre et en nombre silencieuses
incalculable,"[('incalculable', 's'), ('incalculables', 'p')]",variations en genre et en nombre silencieuses
incandescent,"[('incandescent', 'ms'), ('incandescente', 'fs'), ('incandescentes', 'fp'), ('incandescents', 'mp')]",variations en genre audible et en nombre silencieuses
incantatoire,"[('incantatoire', 's'), ('incantatoires', 'p')]",variations en genre et en nombre silencieuses
incapable,"[('incapable', 's'), ('incapables', 'p')]",variations en genre et en nombre silencieuses
incapacitant,"[('incapacitant', 'ms'), ('incapacitante', 'fs'), ('incapacitantes', 'fp'), ('incapacitants', 'mp')]",variations en genre audible et en nombre silencieuses
incarnadin,"[('incarnadin', 'ms'), ('incarnadine', 'fs'), ('incarnadines', 'fp'), ('incarnadins', 'mp')]",variations en genre audible et en nombre silencieuses
incarnat,"[('incarnat', 'ms'), ('incarnate', 'fs'), ('incarnates', 'fp'), ('incarnats', 'mp')]",variations en genre audible et en nombre silencieuses
incarné,"[('incarné', 'ms'), ('incarnée', 'fs'), ('incarnées', 'fp'), ('incarnés', 'mp')]",variations en genre et en nombre silencieuses
incasique,"[('incasique', 's'), ('incasiques', 'p')]",variations en genre et en nombre silencieuses
incassable,"[('incassable', 's'), ('incassables', 'p')]",variations en genre et en nombre silencieuses
incendiaire,"[('incendiaire', 's'), ('incendiaires', 'p')]",variations en genre et en nombre silencieuses
incendié,"[('incendié', 'ms'), ('incendiée', 'fs'), ('incendiées', 'fp'), ('incendiés', 'mp')]",variations en genre et en nombre silencieuses
incertain,"[('incertain', 'ms'), ('incertaine', 'fs'), ('incertaines', 'fp'), ('incertains', 'mp')]",variations en genre audible et en nombre silencieuses
incessant,"[('incessant', 'ms'), ('incessante', 'fs'), ('incessantes', 'fp'), ('incessants', 'mp')]",variations en genre audible et en nombre silencieuses
incessible,"[('incessible', 's'), ('incessibles', 'p')]",variations en genre et en nombre silencieuses
incestueux,"[('incestueuse', 'fs'), ('incestueuses', 'fp'), ('incestueux', 'm')]",variations en genre audible et en nombre silencieuses
inchangeable,"[('inchangeable', 's'), ('inchangeables', 'p')]",variations en genre et en nombre silencieuses
inchangé,"[('inchangé', 'ms'), ('inchangée', 'fs'), ('inchangées', 'fp'), ('inchangés', 'mp')]",variations en genre et en nombre silencieuses
inchantable,"[('inchantable', 's'), ('inchantables', 'p')]",variations en genre et en nombre silencieuses
inchauffable,"[('inchauffable', 's'), ('inchauffables', 'p')]",variations en genre et en nombre silencieuses
inchavirable,"[('inchavirable', 's'), ('inchavirables', 'p')]",variations en genre et en nombre silencieuses
inchoatif,"[('inchoatif', 'ms'), ('inchoatifs', 'mp'), ('inchoative', 'fs'), ('inchoatives', 'fp')]",variations en genre audible et en nombre silencieuses
incident,"[('incident', 'ms'), ('incidente', 'fs'), ('incidentes', 'fp'), ('incidents', 'mp')]",variations en genre audible et en nombre silencieuses
incis,"[('incis', 'm'), ('incise', 'fs'), ('incises', 'fp')]",variations en genre audible et en nombre silencieuses
incisif,"[('incisif', 'ms'), ('incisifs', 'mp'), ('incisive', 'fs'), ('incisives', 'fp')]",variations en genre audible et en nombre silencieuses
incisé,"[('incisé', 'ms'), ('incisée', 'fs'), ('incisées', 'fp'), ('incisés', 'mp')]",variations en genre et en nombre silencieuses
incitant,"[('incitant', 'ms'), ('incitante', 'fs'), ('incitantes', 'fp'), ('incitants', 'mp')]",variations en genre audible et en nombre silencieuses
incitatif,"[('incitatif', 'ms'), ('incitatifs', 'mp'), ('incitative', 'fs'), ('incitatives', 'fp')]",variations en genre audible et en nombre silencieuses
incivil,"[('incivil', 'ms'), ('incivile', 'fs'), ('inciviles', 'fp'), ('incivils', 'mp')]",invariable
incivique,"[('incivique', 's'), ('inciviques', 'p')]",variations en genre et en nombre silencieuses
inclassable,"[('inclassable', 's'), ('inclassables', 'p')]",variations en genre et en nombre silencieuses
inclinable,"[('inclinable', 's'), ('inclinables', 'p')]",variations en genre et en nombre silencieuses
inclinant,"[('inclinant', 'ms'), ('inclinante', 'fs'), ('inclinantes', 'fp'), ('inclinants', 'mp')]",variations en genre audible et en nombre silencieuses
incliné,"[('incliné', 'ms'), ('inclinée', 'fs'), ('inclinées', 'fp'), ('inclinés', 'mp')]",variations en genre et en nombre silencieuses
inclus,"[('inclus', 'm'), ('incluse', 'fs'), ('incluses', 'fp')]",variations en genre audible et en nombre silencieuses
inclusif,"[('inclusif', 'ms'), ('inclusifs', 'mp'), ('inclusive', 'fs'), ('inclusives', 'fp')]",variations en genre audible et en nombre silencieuses
inclément,"[('inclément', 'ms'), ('inclémente', 'fs'), ('inclémentes', 'fp'), ('incléments', 'mp')]",variations en genre audible et en nombre silencieuses
incoagulable,"[('incoagulable', 's'), ('incoagulables', 'p')]",variations en genre et en nombre silencieuses
incoercible,"[('incoercible', 's'), ('incoercibles', 'p')]",variations en genre et en nombre silencieuses
incohérent,"[('incohérent', 'ms'), ('incohérente', 'fs'), ('incohérentes', 'fp'), ('incohérents', 'mp')]",variations en genre audible et en nombre silencieuses
incoiffable,"[('incoiffable', 's'), ('incoiffables', 'p')]",variations en genre et en nombre silencieuses
incollable,"[('incollable', 's'), ('incollables', 'p')]",variations en genre et en nombre silencieuses
incolore,"[('incolore', 's'), ('incolores', 'p')]",variations en genre et en nombre silencieuses
incombant,"[('incombant', 'ms'), ('incombante', 'fs'), ('incombantes', 'fp'), ('incombants', 'mp')]",variations en genre audible et en nombre silencieuses
incombustible,"[('incombustible', 's'), ('incombustibles', 'p')]",variations en genre et en nombre silencieuses
incomestible,"[('incomestible', 's'), ('incomestibles', 'p')]",variations en genre et en nombre silencieuses
incommensurable,"[('incommensurable', 's'), ('incommensurables', 'p')]",variations en genre et en nombre silencieuses
incommodant,"[('incommodant', 'ms'), ('incommodante', 'fs'), ('incommodantes', 'fp'), ('incommodants', 'mp')]",variations en genre audible et en nombre silencieuses
incommode,"[('incommode', 's'), ('incommodes', 'p')]",variations en genre et en nombre silencieuses
incommodé,"[('incommodé', 'ms'), ('incommodée', 'fs'), ('incommodées', 'fp'), ('incommodés', 'mp')]",variations en genre et en nombre silencieuses
incommunicable,"[('incommunicable', 's'), ('incommunicables', 'p')]",variations en genre et en nombre silencieuses
incomparable,"[('incomparable', 's'), ('incomparables', 'p')]",variations en genre et en nombre silencieuses
incompatible,"[('incompatible', 's'), ('incompatibles', 'p')]",variations en genre et en nombre silencieuses
incomplet,"[('incomplet', 'ms'), ('incomplets', 'mp'), ('incomplète', 'fs'), ('incomplètes', 'fp')]",variations en genre audible et en nombre silencieuses
incompressible,"[('incompressible', 's'), ('incompressibles', 'p')]",variations en genre et en nombre silencieuses
incompris,"[('incompris', 'm'), ('incomprise', 'fs'), ('incomprises', 'fp')]",variations en genre audible et en nombre silencieuses
incompréhensible,"[('incompréhensible', 's'), ('incompréhensibles', 'p')]",variations en genre et en nombre silencieuses
incompréhensif,"[('incompréhensif', 'ms'), ('incompréhensifs', 'mp'), ('incompréhensive', 'fs'), ('incompréhensives', 'fp')]",variations en genre audible et en nombre silencieuses
incompétent,"[('incompétent', 'ms'), ('incompétente', 'fs'), ('incompétentes', 'fp'), ('incompétents', 'mp')]",variations en genre audible et en nombre silencieuses
inconcevable,"[('inconcevable', 's'), ('inconcevables', 'p')]",variations en genre et en nombre silencieuses
inconciliable,"[('inconciliable', 's'), ('inconciliables', 'p')]",variations en genre et en nombre silencieuses
inconditionnel,"[('inconditionnel', 'ms'), ('inconditionnelle', 'fs'), ('inconditionnelles', 'fp'), ('inconditionnels', 'mp')]",variations en genre et en nombre silencieuses
inconditionné,"[('inconditionné', 'ms'), ('inconditionnée', 'fs'), ('inconditionnées', 'fp'), ('inconditionnés', 'mp')]",variations en genre et en nombre silencieuses
inconfortable,"[('inconfortable', 's'), ('inconfortables', 'p')]",variations en genre et en nombre silencieuses
incongelable,"[('incongelable', 's'), ('incongelables', 'p')]",variations en genre et en nombre silencieuses
incongru,"[('incongru', 'ms'), ('incongrue', 'fs'), ('incongrues', 'fp'), ('incongrus', 'mp')]",variations en genre et en nombre silencieuses
inconnaissable,"[('inconnaissable', 's'), ('inconnaissables', 'p')]",variations en genre et en nombre silencieuses
inconnu,"[('inconnu', 'ms'), ('inconnue', 'fs'), ('inconnues', 'fp'), ('inconnus', 'mp')]",variations en genre et en nombre silencieuses
inconscient,"[('inconscient', 'ms'), ('inconsciente', 'fs'), ('inconscientes', 'fp'), ('inconscients', 'mp')]",variations en genre audible et en nombre silencieuses
inconsidéré,"[('inconsidéré', 'ms'), ('inconsidérée', 'fs'), ('inconsidérées', 'fp'), ('inconsidérés', 'mp')]",variations en genre et en nombre silencieuses
inconsistant,"[('inconsistant', 'ms'), ('inconsistante', 'fs'), ('inconsistantes', 'fp'), ('inconsistants', 'mp')]",variations en genre audible et en nombre silencieuses
inconsolable,"[('inconsolable', 's'), ('inconsolables', 'p')]",variations en genre et en nombre silencieuses
inconsolé,"[('inconsolé', 'ms'), ('inconsolée', 'fs'), ('inconsolées', 'fp'), ('inconsolés', 'mp')]",variations en genre et en nombre silencieuses
inconsommable,"[('inconsommable', 's'), ('inconsommables', 'p')]",variations en genre et en nombre silencieuses
inconstant,"[('inconstant', 'ms'), ('inconstante', 'fs'), ('inconstantes', 'fp'), ('inconstants', 'mp')]",variations en genre audible et en nombre silencieuses
inconstatable,"[('inconstatable', 's'), ('inconstatables', 'p')]",variations en genre et en nombre silencieuses
inconstitutionnel,"[('inconstitutionnel', 'ms'), ('inconstitutionnelle', 'fs'), ('inconstitutionnelles', 'fp'), ('inconstitutionnels', 'mp')]",variations en genre et en nombre silencieuses
inconstructible,"[('inconstructible', 's'), ('inconstructibles', 'p')]",variations en genre et en nombre silencieuses
inconséquent,"[('inconséquent', 'ms'), ('inconséquente', 'fs'), ('inconséquentes', 'fp'), ('inconséquents', 'mp')]",variations en genre audible et en nombre silencieuses
incontestable,"[('incontestable', 's'), ('incontestables', 'p')]",variations en genre et en nombre silencieuses
incontesté,"[('incontesté', 'ms'), ('incontestée', 'fs'), ('incontestées', 'fp'), ('incontestés', 'mp')]",variations en genre et en nombre silencieuses
incontinent,"[('incontinent', 'ms'), ('incontinente', 'fs'), ('incontinentes', 'fp'), ('incontinents', 'mp')]",variations en genre audible et en nombre silencieuses
incontournable,"[('incontournable', 's'), ('incontournables', 'p')]",variations en genre et en nombre silencieuses
incontrôlable,"[('incontrôlable', 's'), ('incontrôlables', 'p')]",variations en genre et en nombre silencieuses
incontrôlé,"[('incontrôlé', 'ms'), ('incontrôlée', 'fs'), ('incontrôlées', 'fp'), ('incontrôlés', 'mp')]",variations en genre et en nombre silencieuses
inconvenant,"[('inconvenant', 'ms'), ('inconvenante', 'fs'), ('inconvenantes', 'fp'), ('inconvenants', 'mp')]",variations en genre audible et en nombre silencieuses
inconvertible,"[('inconvertible', 's'), ('inconvertibles', 'p')]",variations en genre et en nombre silencieuses
incorporable,"[('incorporable', 's'), ('incorporables', 'p')]",variations en genre et en nombre silencieuses
incorporant,"[('incorporant', 'ms'), ('incorporante', 'fs'), ('incorporantes', 'fp'), ('incorporants', 'mp')]",variations en genre audible et en nombre silencieuses
incorporel,"[('incorporel', 'ms'), ('incorporelle', 'fs'), ('incorporelles', 'fp'), ('incorporels', 'mp')]",variations en genre et en nombre silencieuses
incorporé,"[('incorporé', 'ms'), ('incorporée', 'fs'), ('incorporées', 'fp'), ('incorporés', 'mp')]",variations en genre et en nombre silencieuses
incorrect,"[('incorrect', 'ms'), ('incorrecte', 'fs'), ('incorrectes', 'fp'), ('incorrects', 'mp')]",variations en genre audible et en nombre silencieuses
