adjectifs,ensembles des traits morpho,catégorie
cruche,"{'s', 'p'}",Varie en nombre
crucial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crucifié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cruciforme,"{'s', 'p'}",Varie en nombre
cruel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crustacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cryptique,"{'s', 'p'}",Varie en nombre
crâne,"{'s', 'p'}",Varie en nombre
crâneur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
crânien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crème,{''},Ne varie pas en genre et en nombre
créancier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
créateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
créatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
crédible,"{'s', 'p'}",Varie en nombre
créditeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
crédule,"{'s', 'p'}",Varie en nombre
crématoire,"{'s', 'p'}",Varie en nombre
crémeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
crénelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
créole,"{'s', 'p'}",Varie en nombre
crépi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crépitant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crépu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crépusculaire,"{'s', 'p'}",Varie en nombre
crétacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crétin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crétinisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
crétois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
créé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cubain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cube,"{'s', 'p'}",Varie en nombre
cubique,"{'s', 'p'}",Varie en nombre
cubiste,"{'s', 'p'}",Varie en nombre
cucu,"{'s', 'p'}",Varie en nombre
cucul,{''},Ne varie pas en genre et en nombre
cucullé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cuirassé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cuisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cuisiné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cuistre,"{'s', 'p'}",Varie en nombre
cuit,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cuivreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
cuivrique,"{'s', 'p'}",Varie en nombre
cuivré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cul,{''},Ne varie pas en genre et en nombre
culinaire,"{'s', 'p'}",Varie en nombre
culminant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
culotté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
culpabilisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
culte,"{'s', 'p'}",Varie en nombre
cultivable,"{'s', 'p'}",Varie en nombre
cultivé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cultuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cultural,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
culturaliste,"{'s', 'p'}",Varie en nombre
culturel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cumulable,"{'s', 'p'}",Varie en nombre
cumulatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
cunéiforme,"{'s', 'p'}",Varie en nombre
cunéé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cupide,"{'s', 'p'}",Varie en nombre
cuprifère,"{'s', 'p'}",Varie en nombre
cuprique,"{'s', 'p'}",Varie en nombre
cuprolithique,"{'s', 'p'}",Varie en nombre
curable,"{'s', 'p'}",Varie en nombre
curarisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
curatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
curatélaire,"{'s', 'p'}",Varie en nombre
curial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
curiate,"{'s', 'p'}",Varie en nombre
curieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
cursif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
curule,"{'s', 'p'}",Varie en nombre
curviligne,"{'s', 'p'}",Varie en nombre
cutané,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cyan,{''},Ne varie pas en genre et en nombre
cyanhydrique,"{'s', 'p'}",Varie en nombre
cyanosé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cybernéticien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cybernétique,"{'s', 'p'}",Varie en nombre
cyclable,"{'s', 'p'}",Varie en nombre
cyclique,"{'s', 'p'}",Varie en nombre
cycliste,"{'s', 'p'}",Varie en nombre
cyclonal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cyclonique,"{'s', 'p'}",Varie en nombre
cyclopéen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cyclothymique,"{'s', 'p'}",Varie en nombre
cycloïdal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cycloïde,"{'s', 'p'}",Varie en nombre
cylindrique,"{'s', 'p'}",Varie en nombre
cynique,"{'s', 'p'}",Varie en nombre
cynophile,"{'s', 'p'}",Varie en nombre
cynégétique,"{'s', 'p'}",Varie en nombre
cypriote,"{'s', 'p'}",Varie en nombre
cyrillique,"{'s', 'p'}",Varie en nombre
cystique,"{'s', 'p'}",Varie en nombre
cytogénétique,"{'s', 'p'}",Varie en nombre
cytologique,"{'s', 'p'}",Varie en nombre
cytoplasmique,"{'s', 'p'}",Varie en nombre
câblier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
câblé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
câlin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
câpre,"{'s', 'p'}",Varie en nombre
cédant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cédulaire,"{'s', 'p'}",Varie en nombre
cédétiste,"{'s', 'p'}",Varie en nombre
cégésimal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cégétiste,"{'s', 'p'}",Varie en nombre
céladon,{''},Ne varie pas en genre et en nombre
céleste,"{'s', 'p'}",Varie en nombre
célibataire,"{'s', 'p'}",Varie en nombre
célèbre,"{'s', 'p'}",Varie en nombre
célébrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cénesthésique,"{'s', 'p'}",Varie en nombre
cénobitique,"{'s', 'p'}",Varie en nombre
céphalique,"{'s', 'p'}",Varie en nombre
céphalo-rachidien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cérame,"{'s', 'p'}",Varie en nombre
céramique,"{'s', 'p'}",Varie en nombre
céramiste,"{'s', 'p'}",Varie en nombre
céruléen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cérumineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
céréalier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
cérébelleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
cérébral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cérébro-spinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cérémonial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cérémoniel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cérémonieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
césarien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cétacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
cévenol,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
côtelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
côtier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
d'ensemble,{''},Ne varie pas en genre et en nombre
dactylique,"{'s', 'p'}",Varie en nombre
dactylographique,"{'s', 'p'}",Varie en nombre
dada,{''},Ne varie pas en genre et en nombre
daghestanais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
dahoméen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dalmate,"{'s', 'p'}",Varie en nombre
daltonien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
damassé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
damnable,"{'s', 'p'}",Varie en nombre
damné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dandinant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dangereux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
danien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
danois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
dansable,"{'s', 'p'}",Varie en nombre
dansant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dantesque,"{'s', 'p'}",Varie en nombre
dartreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
darwinien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
darwiniste,"{'s', 'p'}",Varie en nombre
datable,"{'s', 'p'}",Varie en nombre
dateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
datif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
daubeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
dauphinois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
davidien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
de bon aloi,{''},Ne varie pas en genre et en nombre
de bric et de broc,{''},Ne varie pas en genre et en nombre
de fortune,{''},Ne varie pas en genre et en nombre
de guingois,{''},Ne varie pas en genre et en nombre
de rigueur,{''},Ne varie pas en genre et en nombre
debout,{''},Ne varie pas en genre et en nombre
deltaïque,"{'s', 'p'}",Varie en nombre
deltoïde,"{'s', 'p'}",Varie en nombre
deltoïdien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
demandeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
demeuré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
demi,"{'s', 'p'}",Varie en nombre
demi-circulaire,"{'s', 'p'}",Varie en nombre
demi-fin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
demi-mort,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
demi-sel,{''},Ne varie pas en genre et en nombre
dense,"{'s', 'p'}",Varie en nombre
dentaire,"{'s', 'p'}",Varie en nombre
dental,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dentellier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
dentelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
denticulé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dentifrice,"{'s', 'p'}",Varie en nombre
denté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
der,"{'s', 'p'}",Varie en nombre
dermatologique,"{'s', 'p'}",Varie en nombre
dermique,"{'s', 'p'}",Varie en nombre
dernier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
dernier-né,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
descendant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
descriptible,"{'s', 'p'}",Varie en nombre
descriptif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
design,{''},Ne varie pas en genre et en nombre
despote,"{'s', 'p'}",Varie en nombre
despotique,"{'s', 'p'}",Varie en nombre
dessalé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dessiccatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
dessiné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dessoudé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
desséchant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
destructeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
destructible,"{'s', 'p'}",Varie en nombre
destructif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
deutérocanonique,"{'s', 'p'}",Varie en nombre
deuxième,"{'s', 'p'}",Varie en nombre
devinable,"{'s', 'p'}",Varie en nombre
dextre,"{'s', 'p'}",Varie en nombre
dextrogyre,"{'s', 'p'}",Varie en nombre
dextrorsum,{''},Ne varie pas en genre et en nombre
diable,"{'s', 'p'}",Varie en nombre
diabolique,"{'s', 'p'}",Varie en nombre
diabétique,"{'s', 'p'}",Varie en nombre
diachronique,"{'s', 'p'}",Varie en nombre
diacide,"{'s', 'p'}",Varie en nombre
diacode,"{'s', 'p'}",Varie en nombre
diaconal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
diacritique,"{'s', 'p'}",Varie en nombre
diagnostique,"{'s', 'p'}",Varie en nombre
diagonal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dialectal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dialectique,"{'s', 'p'}",Varie en nombre
dialogique,"{'s', 'p'}",Varie en nombre
dialypétale,"{'s', 'p'}",Varie en nombre
diamantifère,"{'s', 'p'}",Varie en nombre
diamantin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
diamanté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
diamétral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
diaphane,"{'s', 'p'}",Varie en nombre
diaphorétique,"{'s', 'p'}",Varie en nombre
diaphragmatique,"{'s', 'p'}",Varie en nombre
diapré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
diarrhéique,"{'s', 'p'}",Varie en nombre
diasporique,"{'s', 'p'}",Varie en nombre
diastasique,"{'s', 'p'}",Varie en nombre
diastolique,"{'s', 'p'}",Varie en nombre
diatomique,"{'s', 'p'}",Varie en nombre
diatonique,"{'s', 'p'}",Varie en nombre
diazoïque,"{'s', 'p'}",Varie en nombre
dibasique,"{'s', 'p'}",Varie en nombre
dicarbonylé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
dicaryotique,"{'s', 'p'}",Varie en nombre
dichotome,"{'s', 'p'}",Varie en nombre
dichotomique,"{'s', 'p'}",Varie en nombre
dichromatique,"{'s', 'p'}",Varie en nombre
dichroïque,"{'s', 'p'}",Varie en nombre
